"gene","rho","p","padj"
"AC244093.5",0.664789745418223,0.00261276204300535,0.024658952189792
"AC244131.2",0.00954243653710368,0.970023176523772,0.981957809234729
"AC244197.2",-0.171763857667866,0.495549988480279,0.660500149329533
"AC244453.3",-0.458036953780977,0.0559371439534196,0.160843623470469
"AC244472.1",0.353070151872836,0.150665808346054,0.312505472143714
"AC244502.1",0.515291573003599,0.0286298439783276,0.102769945011994
"AC244517.11",-0.610715938374635,0.00709928010412568,0.0436095493137262
"AC244517.2",-0.413505583274493,0.0880581514289032,0.218290421888201
"AC245014.3",0.518472385182633,0.0274953462421001,0.100092752090068
"AC245041.2",0.219476040353385,0.381547140675057,0.562756490065881
"AC245060.5",-0.540738070435875,0.0205003265131794,0.0830780654873973
"AC245060.6",-0.32126203008249,0.193623689674478,0.368072489939146
"AC245140.2",-0.53755725825684,0.0214032799271422,0.085187803628122
"AC245187.2",-0.779298983863467,0.000137817632006879,0.00510801088797086
"AC245297.2",0.493025887750357,0.0376212761921747,0.123223040240276
"AC245297.3",0.200391167279177,0.425283301135369,0.601022206415312
"AC245407.2",0.273549847396972,0.27204135028264,0.455484922296248
"AC245452.1",-0.232199289069523,0.353835881103551,0.537270211073
"AC245884.8",-0.229018476890488,0.360653398215665,0.543460463045705
"AC246785.3",-0.235380101248557,0.347092469256987,0.530933932955088
"AC246817.1",-0.114509238445244,0.650954097285076,0.778138943517348
"AC246817.2",-0.741129237715052,0.000432925989333248,0.00914216128060595
"AC253572.2",0.601173501837532,0.00831857671844305,0.0480760879481222
"AC254562.3",-0.454856141601942,0.0578848404090217,0.164558924798637
"AC254633.1",0.811107105653813,4.42049009868422e-05,0.00281845331726075
"ACAA1",0.0986051775500713,0.697081085073464,0.812796709156869
"ACAA2",0.381697461484147,0.118050351268215,0.265881464708932
"ACACA",-0.318081217903456,0.198323160050998,0.373248855414886
"ACACB",-0.728405988998914,0.000607933276267593,0.010899375167369
"ACAD10",-0.610715938374635,0.00709928010412568,0.0436095493137262
"ACAD11",-0.782479796042502,0.000124046307768907,0.0047947645940539
"ACAD8",-0.413505583274493,0.0880581514289032,0.218290421888201
"ACAD9",-0.680693806313396,0.00187484757739851,0.0203817722654797
"ACADL",-0.632981623627877,0.0048087911431101,0.0349536362084788
"ACADM",-0.493025887750357,0.0376212761921747,0.123223040240276
"ACADS",0.0890627410129677,0.725263057271196,0.83234408858841
"ACADSB",0.333985278798629,0.175566555832454,0.346123407794962
"ACADVL",-0.079520304475864,0.753785040534463,0.850409852569291
"ACAP1",0.575727004405255,0.0124108071879096,0.06129362284659
"ACAP2",0.337166090977663,0.171235873948978,0.340497006070426
"ACAP3",0.079520304475864,0.753785040534462,0.850409852569291
