"sample","celltype","receptivity_score","group","day","pred_day","timing_state"
"endometrium, LH9_3, rep3","Glandular_Epi",0.398280442330805,"LH9",9,8.39063092162201,"In-phase"
"endometrium, LH11_1, rep1","Glandular_Epi",1.60891356784249,"LH11",11,12.0678245544047,"Advanced"
"endometrium, LH3_1, rep1","Glandular_Epi",-0.669202630500329,"LH3",3,5.14824321902313,"Delayed"
"endometrium, LH3_2, rep2","Glandular_Epi",-0.228588554698903,"LH3",3,6.486570446247,"Delayed"
"endometrium, LH3_3, rep3","Glandular_Epi",-1.08247071712013,"LH3",3,3.89297707379163,"Delayed"
"endometrium, LH11_2, rep2","Glandular_Epi",0.801020616125073,"LH11",11,9.61391944027718,"Advanced"
"endometrium, RIF_4, rep4","Glandular_Epi",0.516814002261953,"RIF",NA,8.750666379652,"Advanced"
"endometrium, LH11_3, rep3","Glandular_Epi",0.815606622221587,"LH11",11,9.65822317492277,"Advanced"
"endometrium, RIF_5, rep5","Glandular_Epi",-0.0713838481436552,"RIF",NA,6.96406617456197,"In-phase"
"endometrium, RIF_8, rep8","Glandular_Epi",0.617205631480425,"RIF",NA,9.05559728891554,"Advanced"
"endometrium, RIF_9, rep9","Glandular_Epi",0.134048988262566,"RIF",NA,7.5880506848802,"In-phase"
"endometrium, RIF_10, rep10","Glandular_Epi",0.315955299332938,"RIF",NA,8.14057540499163,"In-phase"
"endometrium, RIF_1, rep1","Luminal_Epi",-0.275610906001065,"RIF",NA,6.31252144345015,"Delayed"
"endometrium, RIF_6, rep6","Luminal_Epi",-0.158904138085458,"RIF",NA,6.60647909880289,"In-phase"
"endometrium, LH7_PGT_1, rep1","Luminal_Epi",-0.00401692722305863,"Fertile_LH7",7,6.99660455735523,"In-phase"
"endometrium, LH7_PGT_2, rep2","Luminal_Epi",0.314897392257016,"Fertile_LH7",7,7.79987678643941,"In-phase"
"endometrium, RIF_7, rep7","Luminal_Epi",-0.152788424099363,"RIF",NA,6.62188318355538,"In-phase"
"endometrium, RIF_2, rep2","Luminal_Epi",-0.416610348177616,"RIF",NA,5.9573760978243,"Delayed"
"endometrium, LH7_1, rep1","Luminal_Epi",0.290200104315739,"Fertile_LH7",7,7.73766996684829,"In-phase"
"endometrium, LH7_PGT_3, rep3","Luminal_Epi",-0.202336510547231,"Fertile_LH7",7,6.49708288636985,"Delayed"
"endometrium, LH7_2, rep2","Luminal_Epi",0.0235930109169423,"Fertile_LH7",7,7.06614767661921,"In-phase"
"endometrium, LH5_1, rep1","Luminal_Epi",-0.690685892914081,"LH5",5,5.26704248685053,"Delayed"
"endometrium, LH5_2, rep2","Luminal_Epi",-0.680902419386113,"LH5",5,5.2916848190036,"Delayed"
"endometrium, LH7_3, rep3","Luminal_Epi",0.344776749572322,"Fertile_LH7",7,7.87513605354726,"In-phase"
"endometrium, LH9_1, rep1","Luminal_Epi",0.339591563273085,"LH9",9,7.86207575520883,"In-phase"
"endometrium, RIF_3, rep3","Luminal_Epi",0.0746043128823758,"RIF",NA,7.19463347902866,"In-phase"
"endometrium, LH9_2, rep2","Luminal_Epi",-0.0359650403450249,"LH9",9,6.91613456753366,"In-phase"
"endometrium, LH5_3, rep3","Luminal_Epi",-0.88132618550183,"LH5",5,4.78686319283238,"Delayed"
"endometrium, LH9_3, rep3","Luminal_Epi",0.320014834736197,"LH9",9,7.81276645358939,"In-phase"
"endometrium, LH11_1, rep1","Luminal_Epi",2.54192397727414,"LH11",11,13.4092473913495,"Advanced"
"endometrium, LH3_1, rep1","Luminal_Epi",-0.765932698920602,"LH3",3,5.0775129928759,"Delayed"
"endometrium, LH3_2, rep2","Luminal_Epi",-0.685138737843067,"LH3",3,5.28101450173601,"Delayed"
"endometrium, LH3_3, rep3","Luminal_Epi",-0.693901104601712,"LH3",3,5.2589441039886,"Delayed"
"endometrium, LH11_2, rep2","Luminal_Epi",0.099704789834612,"LH11",11,7.2578558395215,"In-phase"
"endometrium, RIF_4, rep4","Luminal_Epi",0.1151544583386,"RIF",NA,7.2967700208541,"In-phase"
"endometrium, LH11_3, rep3","Luminal_Epi",0.317463398126445,"LH11",11,7.80633996833083,"In-phase"
"endometrium, RIF_5, rep5","Luminal_Epi",0.158307613006731,"RIF",NA,7.40546294752731,"In-phase"
"endometrium, RIF_8, rep8","Luminal_Epi",0.260268820099275,"RIF",NA,7.66227990775308,"In-phase"
"endometrium, RIF_9, rep9","Luminal_Epi",0.179878002363301,"RIF",NA,7.45979382476391,"In-phase"
"endometrium, RIF_10, rep10","Luminal_Epi",0.263740306649446,"RIF",NA,7.67102378837887,"In-phase"
"endometrium, RIF_1, rep1","Lymphoid",-0.642770543203581,"RIF",NA,4.93489087975132,"Delayed"
"endometrium, RIF_6, rep6","Lymphoid",0.244636801684065,"RIF",NA,7.9977351202758,"In-phase"
"endometrium, LH7_PGT_1, rep1","Lymphoid",0.221066022807961,"Fertile_LH7",7,7.91638169815093,"In-phase"
"endometrium, LH7_PGT_2, rep2","Lymphoid",-0.073986410568458,"Fertile_LH7",7,6.89802225879548,"In-phase"
"endometrium, RIF_7, rep7","Lymphoid",-0.103733429666292,"RIF",NA,6.79535183732392,"In-phase"
"endometrium, RIF_2, rep2","Lymphoid",-0.204407788084066,"RIF",NA,6.44787907791441,"Delayed"
"endometrium, LH7_1, rep1","Lymphoid",0.54226770724923,"Fertile_LH7",7,9.02499403374329,"Advanced"
"endometrium, LH7_PGT_3, rep3","Lymphoid",0.0416859006079609,"Fertile_LH7",7,7.29725973875989,"In-phase"
"endometrium, LH7_2, rep2","Lymphoid",-0.0643782418426422,"Fertile_LH7",7,6.93118439613115,"In-phase"
"endometrium, LH5_1, rep1","Lymphoid",-0.547383076767786,"LH5",5,5.26411618296096,"Delayed"
"endometrium, LH5_2, rep2","Lymphoid",-0.58625085991339,"LH5",5,5.12996587821614,"Delayed"
"endometrium, LH7_3, rep3","Lymphoid",-0.097566056395407,"Fertile_LH7",7,6.81663823281154,"In-phase"
"endometrium, LH9_1, rep1","Lymphoid",0.472672849160476,"LH9",9,8.78479069139407,"Advanced"
"endometrium, RIF_3, rep3","Lymphoid",-0.222610272835948,"RIF",NA,6.38505406761139,"Delayed"
"endometrium, LH9_2, rep2","Lymphoid",0.729690511732048,"LH9",9,9.67187492847582,"Advanced"
"endometrium, LH5_3, rep3","Lymphoid",-1.20427351930029,"LH5",5,2.99689006616452,"Delayed"
"endometrium, LH9_3, rep3","Lymphoid",0.305288544788225,"LH9",9,8.20707172664327,"In-phase"
"endometrium, LH11_1, rep1","Lymphoid",0.685228060130406,"LH11",11,9.5184148916706,"Advanced"
"endometrium, LH3_1, rep1","Lymphoid",-1.17322240728684,"LH3",3,3.10406150230394,"Delayed"
"endometrium, LH3_2, rep2","Lymphoid",-0.685832563873703,"LH3",3,4.78626436369344,"Delayed"
"endometrium, LH3_3, rep3","Lymphoid",-1.18873210321317,"LH3",3,3.0505305245473,"Delayed"
"endometrium, LH11_2, rep2","Lymphoid",0.862572493587849,"LH11",11,10.1305107681961,"Advanced"
"endometrium, RIF_4, rep4","Lymphoid",-0.0572321235279536,"RIF",NA,6.95584888358254,"In-phase"
"endometrium, LH11_3, rep3","Lymphoid",0.961231639454673,"LH11",11,10.4710281173415,"Advanced"
"endometrium, RIF_5, rep5","Lymphoid",0.260805563710228,"RIF",NA,8.05354083332691,"In-phase"
"endometrium, RIF_8, rep8","Lymphoid",0.688420748765209,"RIF",NA,9.52943430463041,"Advanced"
"endometrium, RIF_9, rep9","Lymphoid",0.255545209120131,"RIF",NA,8.03538496967284,"In-phase"
"endometrium, RIF_10, rep10","Lymphoid",0.581267343681074,"RIF",NA,9.15959942383384,"Advanced"
"endometrium, RIF_1, rep1","Myeloid",-0.537879010646854,"RIF",NA,4.4896001880742,"Delayed"
"endometrium, RIF_6, rep6","Myeloid",-0.376873244956803,"RIF",NA,5.24242160722403,"Delayed"
"endometrium, LH7_PGT_1, rep1","Myeloid",-0.081158052814075,"Fertile_LH7",7,6.62510954798768,"In-phase"
"endometrium, LH7_PGT_2, rep2","Myeloid",0.274822244284395,"Fertile_LH7",7,8.28958157048002,"In-phase"
"endometrium, RIF_7, rep7","Myeloid",-0.0893984746534282,"RIF",NA,6.58657946158421,"In-phase"
"endometrium, RIF_2, rep2","Myeloid",-0.536105887611857,"RIF",NA,4.49789085390106,"Delayed"
"endometrium, LH7_1, rep1","Myeloid",-0.0170024786917118,"Fertile_LH7",7,6.92508445975666,"In-phase"
"endometrium, LH7_PGT_3, rep3","Myeloid",-0.0426115564714425,"Fertile_LH7",7,6.80534301947576,"In-phase"
"endometrium, LH7_2, rep2","Myeloid",-0.140691297350926,"Fertile_LH7",7,6.34674745674988,"Delayed"
"endometrium, LH5_1, rep1","Myeloid",-0.481804684468408,"LH5",5,4.75178926950619,"Delayed"
"endometrium, LH5_2, rep2","Myeloid",-0.364376774455392,"LH5",5,5.30085187906501,"Delayed"
"endometrium, LH7_3, rep3","Myeloid",0.153735431434957,"Fertile_LH7",7,7.72341087529432,"In-phase"
"endometrium, LH9_1, rep1","Myeloid",0.134999486123774,"LH9",9,7.63580642909435,"In-phase"
"endometrium, RIF_3, rep3","Myeloid",0.187541492903401,"RIF",NA,7.8814792963938,"In-phase"
"endometrium, LH9_2, rep2","Myeloid",0.443422106538667,"LH9",9,9.07791102580567,"Advanced"
"endometrium, LH5_3, rep3","Myeloid",-0.340562789847884,"LH5",5,5.41219992682592,"Delayed"
"endometrium, LH9_3, rep3","Myeloid",0.209884903501423,"LH9",9,7.98595131951024,"In-phase"
"endometrium, LH11_1, rep1","Myeloid",1.03104191287923,"LH11",11,11.8254696280327,"Advanced"
"endometrium, LH3_1, rep1","Myeloid",-0.591337529815725,"LH3",3,4.23964194531268,"Delayed"
"endometrium, LH3_2, rep2","Myeloid",-0.899253963943415,"LH3",3,2.79990414507882,"Delayed"
"endometrium, LH3_3, rep3","Myeloid",-0.844063154038763,"LH3",3,3.05796213237124,"Delayed"
"endometrium, LH11_2, rep2","Myeloid",0.936463708144326,"LH11",11,11.3832463448849,"Advanced"
"endometrium, RIF_4, rep4","Myeloid",0.074546043701256,"RIF",NA,7.35314172996411,"In-phase"
"endometrium, LH11_3, rep3","Myeloid",0.600846960316546,"LH11",11,9.81398902476792,"Advanced"
"endometrium, RIF_5, rep5","Myeloid",-0.261060239160672,"RIF",NA,5.78393334132734,"Delayed"
"endometrium, RIF_8, rep8","Myeloid",0.45763120865755,"RIF",NA,9.1443491212126,"Advanced"
"endometrium, RIF_9, rep9","Myeloid",0.396075505765398,"RIF",NA,8.8565305365214,"Advanced"
"endometrium, RIF_10, rep10","Myeloid",0.703168134676438,"RIF",NA,10.2924164361128,"Advanced"
"endometrium, RIF_1, rep1","Stroma",0.169898626267192,"RIF",NA,7.80583263068612,"In-phase"
"endometrium, RIF_6, rep6","Stroma",-0.0257538761962278,"RIF",NA,6.89537554120908,"In-phase"
"endometrium, LH7_PGT_1, rep1","Stroma",-0.0257295645207496,"Fertile_LH7",7,6.89548867412084,"In-phase"
"endometrium, LH7_PGT_2, rep2","Stroma",0.418147377007039,"Fertile_LH7",7,8.96104318112194,"Advanced"
"endometrium, RIF_7, rep7","Stroma",-0.124872938009281,"RIF",NA,6.43413098060409,"Delayed"
"endometrium, RIF_2, rep2","Stroma",-0.126988591285205,"RIF",NA,6.42428591601412,"Delayed"
"endometrium, LH7_1, rep1","Stroma",0.188796728323904,"Fertile_LH7",7,7.89377380587457,"In-phase"
"endometrium, LH7_PGT_3, rep3","Stroma",-0.103369408458526,"Fertile_LH7",7,6.5341963550908,"In-phase"
"endometrium, LH7_2, rep2","Stroma",-0.125796360607711,"Fertile_LH7",7,6.42983388937991,"Delayed"
"endometrium, LH5_1, rep1","Stroma",-0.380678949394676,"LH5",5,5.24375317472745,"Delayed"
